catalog,glong,glat,size,comments,assoc_flag,assoc,Name,Alias,Simbad_comments,VGPS Exclude,MAGPIS Exclude,Parallax,magpis,nvss_match,Cornish,Yusef 20cm GC,Lang Radio,Lang Paschen,THOR
observe,1.00517,-0.235813,50.8306,6cm,0,,FQ111,,,0,0,,1,0,0,0,0,0,0
no_radio,1.01112,-0.216062,37.4506,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,1.05098,0.00730335,91.8735,,0,,FA238,,,0,0,,0,0,0,0,0,0,0
observe,1.05599,-0.15342,126.311,no radio but def observe,0,,FA239,,,0,0,,0,0,0,0,0,0,0
no_radio,1.06139,-0.234035,42.5,,0,,FA240,,,0,0,,0,0,0,0,0,0,0
no_radio,1.09932,-0.0894417,30.9593,,1,G001.125-00.105; G001.119-00.098,,,,0,0,,0,0,0,0,0,0,0
no_radio,1.11435,-0.113853,20.5671,,1,G001.125-00.105; G001.119-00.098,,,,0,0,,0,0,0,0,0,0,0
no_radio,1.11913,-0.26553,221.121,,0,,FA242,,,0,0,,0,0,0,0,0,0,0
known,1.12515,-0.105151,60,,0,,G001.125-00.105; G001.119-00.098,Sgr D,,0,0,,0,0,0,0,0,0,0
observe,1.13801,0.807995,37.3903,known as PN  but looks like HII maybe,0,,FQ112,,,0,1,,0,0,0,0,0,0,0
no_radio,1.15706,0.0649803,25.2923,,0,,,,,0,0,,0,0,0,0,0,0,0
known,1.2188,-0.0338621,611.428,,0,,G001.149-00.062,Sgr D,,0,0,,0,0,0,0,0,0,0
known,1.32176,0.101962,58.7388,,0,,FA077; G001.323+00.086,,,0,0,,0,0,0,0,0,0,0
known,1.33,0.088,42.5,,0,,FA078; G001.323+00.086,,,0,0,,0,0,0,0,0,0,0
known,1.33082,0.145516,78.6106,,0,,FA244,,,0,0,,0,0,0,0,0,0,0
no_radio,1.36278,0.118997,70.1076,,1,FA244,FA245,,,0,0,,0,0,0,0,0,0,0
known,1.488,-0.199,42.5,,0,,FA247,,,0,0,,0,0,0,0,0,0,0
no_radio,1.66263,-0.271221,42.5,,0,,FA249,,,0,0,,0,0,0,0,0,0,0
no_radio,1.67971,-0.0273006,65.6397,,0,,FA250,,,0,0,,0,0,0,0,0,0,0
no_radio,1.77205,0.633842,42.5,,0,,FA253,,,0,0,,0,0,0,0,0,0,0
no_radio,1.81318,-0.13628,38.0155,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,1.86323,-0.379407,57.9703,,0,,FQ113,,,0,0,,0,0,0,0,0,0,0
no_radio,1.91234,-0.27243,42.5,,0,,FA255,,,0,0,,0,0,0,0,0,0,0
no_radio,1.93587,-0.375486,21.4513,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,1.93931,-0.310037,42.5,,0,,FA256,,,0,0,,0,0,0,0,0,0,0
no_radio,1.97529,0.172856,75.617,,0,,FA257,,,0,0,,0,0,0,0,0,0,0
no_radio,1.97846,-0.332731,40.7237,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,1.9897,-0.677121,19.1574,,0,,,,,0,0,,0,0,0,0,0,0,0
known,2.009,-0.68,42.5,,0,,FA079,,,0,0,,0,0,0,0,0,0,0
no_radio,2.08406,-0.577696,22.2622,,0,,,,,0,0,,0,0,0,0,0,0,0
